Location,Region,Job ID,Platform,api_documentation,app_distribution,architecture,backend_baas,build_dependency,ci_cd,concurrency_reactive,cross_platform_sdks,cross_platform_ui,data_storage,debug_profiling,dependency_injection,design_guidelines,game_dev,ides,languages,methodologies,monitoring_analytics,native_interop,native_ui,networking,platform_android,platform_apple,runtimes,security_compliance,team_collaboration,testing_quality,version_control
Austria,Europe,eyJqb2JfdGl0bGUiOiJBbmRyb2lkIERldmVsb3BlciDigJMgS290bGluIChBdXN0cmlhIGJhc2VkLCBIeWJyaWQpIiwiY29tcGFueV9uYW1lIjoiQml0Y29pbiBEZXZzIENvbXBhbnkiLCJhZGRyZXNzX2NpdHkiOiJWaWVubmEsIEF1c3RyaWEiLCJodGlkb2NpZCI6IkpETURFcWVrYlAyOGkxU0VBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lIUVhWemRISnBZUSJ9,Android,,Google Play Store / Google Play Console,Model-View-ViewModel (MVVM),,,,Kotlin Coroutines,,,,,Hilt,,,,Kotlin,,,,,Retrofit,,,,,,,
Austria,Europe,eyJqb2JfdGl0bGUiOiJpb3MgZW50d2lja2xlciA4MOKAkzEwMCUgdy9tL2QiLCJjb21wYW55X25hbWUiOiJDSEFOQ0VOTEFORCBWT1JBUkxCRVJHIiwiYWRkcmVzc19jaXR5IjoiRG9ybmJpcm4sIEF1c3RyaWEiLCJodGlkb2NpZCI6IlI2bGFZTG9UUXZYc0pDVTdBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lIUVhWemRISnBZUSJ9,iOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Europe,eyJqb2JfdGl0bGUiOiJNaWRkbGUgaU9TIGRldmVsb3BlciIsImNvbXBhbnlfbmFtZSI6IlByb2Nlc3NpY2EiLCJhZGRyZXNzX2NpdHkiOiJWaWVubmEsIEF1c3RyaWEiLCJodGlkb2NpZCI6IjNmQ09lWXNNZFhkQUMwSktBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lIUVhWemRISnBZUSJ9,iOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Europe,eyJqb2JfdGl0bGUiOiJpT1MgRGV2ZWxvcGVyIiwiY29tcGFueV9uYW1lIjoiUmFpZmZlaXNlbiBHcnVwcGUiLCJhZGRyZXNzX2NpdHkiOiJMaW56LCBBdXN0cmlhIiwiaHRpZG9jaWQiOiJkOTZOUHZyY1gzUlpacVZBQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJSFFYVnpkSEpwWVEifQ==,iOS,,,,,Gradle,Jenkins,,,,,,,,,,Swift,,,,,,,,,,,,
Austria,Europe,eyJqb2JfdGl0bGUiOiJpT1MgU29mdHdhcmUgRW5naW5lZXIiLCJjb21wYW55X25hbWUiOiJDeWJlcm1vdGgiLCJhZGRyZXNzX2NpdHkiOiJWaWVubmEsIEF1c3RyaWEiLCJodGlkb2NpZCI6Ik03UGNJLXNzTUp3T3hXVXhBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lIUVhWemRISnBZUSJ9,iOS,,,,,,,,,,,,,,,Xcode,"Objective-C, Swift",Scrum,,,,,,,,,,,
Austria,Europe,eyJqb2JfdGl0bGUiOiJTb2Z0d2FyZSBFbmdpbmVlciwgaU9TIiwiY29tcGFueV9uYW1lIjoiQml0cGFuZGEiLCJhZGRyZXNzX2NpdHkiOiJWaWVubmEsIEF1c3RyaWEiLCJodGlkb2NpZCI6Ik9IUEFMTHQ2cmxSTWdFY3ZBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lIUVhWemRISnBZUSJ9,iOS,,,,,,,,,,,,,,,,Swift,,,,"SwiftUI, UIKit",,,,,,,,
Austria,Europe,eyJqb2JfdGl0bGUiOiJKdW5pb3IgaU9TIERldmVsb3BlciIsImNvbXBhbnlfbmFtZSI6Im1vaGVtaWFuIHNlcnZpY2VzIEdtYkgiLCJhZGRyZXNzX2NpdHkiOiJJbm5zYnJ1Y2ssIEF1c3RyaWEiLCJodGlkb2NpZCI6IlJlcHV4UDdabjJUaHZLOUpBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lIUVhWemRISnBZUSJ9,iOS,,,,,,,,,,,,,,,,"C++, Objective-C, Python, Swift","Kanban, Scrum",,,SwiftUI,,,,,,,,
Austria,Europe,eyJqb2JfdGl0bGUiOiJpT1MgRW5naW5lZXIgKG0vZi9kKSIsImNvbXBhbnlfbmFtZSI6IlJvY2hlIiwiYWRkcmVzc19jaXR5IjoiVmllbm5hLCBBdXN0cmlhIiwiaHRpZG9jaWQiOiJBSjh2TlNQS2QtWkVhNjI2QUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJSFFYVnpkSEpwWVEifQ==,iOS,,,Redux,,,,,,,,,,,,,"Objective-C, Swift",,,,,,,,,,,,
Austria,Europe,eyJqb2JfdGl0bGUiOiJTZW5pb3IgaU9zIERldmVsb3BlciIsImNvbXBhbnlfbmFtZSI6IlRoZWhlcm8iLCJhZGRyZXNzX2NpdHkiOiJWaWVubmEsIEF1c3RyaWEiLCJodGlkb2NpZCI6IkR1Y2hMNmZ6ZVp4ZkF0d1VBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lIUVhWemRISnBZUSJ9,iOS,,,,,,,,,,Core Data,,,,,,"Objective-C, Swift",,,,"SwiftUI, UIKit, Core Animation",REST API,,,,,,,Git
Austria,Europe,eyJqb2JfdGl0bGUiOiJJb3MgRGV2ZWxvcGVyIiwiY29tcGFueV9uYW1lIjoiRGVzeWduZXIiLCJhZGRyZXNzX2NpdHkiOiJBdXN0cmlhIiwiaHRpZG9jaWQiOiJOSVJ4RW9RaUxQb1g3a3BEQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJSFFYVnpkSEpwWVEifQ==,iOS,,,,,,,,,,,,,,,,"Objective-C, Swift",,,,,,,,,,,,
